670,73,105,577,4.00,688,59.00,15,0.00,20,0.00,9.00,13.00,122,N,0.000000,0.000000,15.00,0,0,Thu Sep  1 00:48:36 2022
690,74,104,586,4.00,684,59.00,1,0.00,20,0.00,9.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:37 2022
670,74,107,580,4.00,683,45.00,1,0.00,19,0.00,8.00,13.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:38 2022
689,75,105,515,2.00,687,40.00,11,0.00,28,0.00,8.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:39 2022
674,75,105,549,4.00,682,56.00,12,0.00,22,0.00,10.00,13.00,122,N,0.000000,0.000000,15.00,0,0,Thu Sep  1 00:48:40 2022
687,74,107,510,2.00,684,47.00,13,0.00,26,0.00,11.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:41 2022
670,73,105,571,2.00,680,44.00,14,0.00,26,0.00,10.00,14.00,122,N,0.000000,0.000000,15.00,0,0,Thu Sep  1 00:48:42 2022
657,75,107,583,3.00,687,48.00,19,0.00,26,0.00,10.00,12.00,122,N,0.000000,0.000000,15.00,0,0,Thu Sep  1 00:48:43 2022
686,73,105,590,5.00,686,41.00,12,0.00,16,0.00,8.00,12.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:44 2022
662,73,104,570,2.00,682,51.00,9,0.00,23,0.00,8.00,12.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:45 2022
663,74,107,540,2.00,681,57.00,8,0.00,29,0.00,10.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:46 2022
676,75,105,621,2.00,687,51.00,10,0.00,29,0.00,9.00,13.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:47 2022
660,75,107,493,5.00,682,42.00,11,0.00,22,0.00,11.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:48 2022
676,74,104,525,3.00,681,41.00,8,0.00,16,0.00,9.00,13.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:49 2022
692,75,106,615,4.00,689,54.00,9,0.00,28,0.00,8.00,14.00,122,N,0.000000,0.000000,15.00,0,0,Thu Sep  1 00:48:50 2022
670,75,104,519,5.00,686,58.00,12,0.00,22,0.00,10.00,14.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:51 2022
698,74,105,525,3.00,684,56.00,8,0.00,28,0.00,11.00,13.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:52 2022
691,75,105,543,2.00,686,58.00,14,0.00,27,0.00,10.00,12.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:53 2022
654,75,106,523,3.00,686,56.00,7,0.00,28,0.00,8.00,12.00,122,N,0.000000,0.000000,14.00,0,0,Thu Sep  1 00:48:54 2022
